,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
4239,David+Churchill,@dchurchill01,David Churchill,"Criminologist @CCJSLeeds Historical criminology and criminal justice history: policing, security & crime control since c.1750.",Yorkshire,1235,1692,6.88279770169489
4240,David+Clapham,@DClaphamFRAS,David Clapham,"Planetary scientist; TESS Exoplanet assessor; Realistic world designer for SF/fantasy authors. Mostly science, some cynical politics, occasional trivial banter.",@ Astronomy Centre,804,729,3.5369893460546233
4241,David+Clayton,@davidjclayton,david clayton,Happily ageing earthling....not that you can tell from the profile,West Yorkshire,1559,1484,6.060407201833579
4242,David+Cohen,@dsc250,David S. Cohen,"feminist law professor @DrexelKline, reproductive rights activist, avid cyclist, husband, dad, indie rock enthusiast, Vermont lover, Phillies fan, he/him",Philadelphia,2769,1089,5.141381350163037
4243,David+Collier,@mishtal,David Collier,"Investigative Journalist-
Masters in ethics-
Fights antisemitism-
I stand up for the truth- 
🇮🇱 🇬🇧 🇺🇸
Support the research https://t.co/7Jaqd6aIxy",,65440,11220,239.09952641850592
4244,David+Coman,@DaveComan,David Coman,Clinical Research and Digital Health Executive,"Raleigh, NC",72,73,0.39683516079389686
4245,David+Conradsson,@DavidConradsson,David Conradsson,"Physiotherapist, early career scientist, interested in E-health for physical activity promotion after stroke.",Stockholm,100,98,0.4901115225724587
4246,David+Cook,@DavidPCook,David Cook,"single-cell genomics / cell plasticity in cancer and regeneration /  Postdoc, Wrana lab, Lunenfeld-Tanenbaum Research Institute, Toronto","Ottawa, Ontario",805,1033,3.0062557212639156
4247,David+Cooke,@drdavidcooke,David Cooke,Board Chair UN @globalcompactAU & @HumanRightsUNSW Advisory Committee. Adjunct Professor @UTS_Business. Director ESG Advisory.,"Sydney, Cammeraygal country. ",2919,2521,15.345962890949696
4248,David+Cooper,@DrDavidCooper,David Cooper,Place writing/poetry/literary geography/GeoHumanities/maps. Senior Lecturer @MMUEnglishDept @McrWritingSchl Co-Director @PlaceCentre,Lancaster & Manchester,5643,1960,14.17277845707869
4249,David+Cortez,@_FRONTERAS_,"David Cortez Manzano, Ph.D.","Asst Professor of #PoliSci + #LatinxStudies @NotreDame. Book project on Latinx immigration agents. Born & raised in Brownsville, TX. #LatPol2021 #AmCit2021","South Bend, IN",3391,972,15.497784783973424
4250,David+Cosgrove,@dcosgr,David Cosgrove,Scottish Bafta Winning Writer and Screenwriting lecturer @RCStweets,Scotland,602,1208,3.3179828721934155
4251,David+Cottrell,@dtcottrell,David Cottrell,"Assistant Professor, School of Public and International Affairs, University of Georgia.  Elections, representation, and data.","Athens, GA",96,148,0.8128874697240459
4252,David+Covert,@davecovert,David Covert,Native Texan and Libertarian. Technologist with a love of birds. Maker who likes to grow his own food.,"Galveston County, Tx",33,44,0.20783997695948853
4253,David+Cox,@DrDavidACox,Dr David Cox,"Health journalist @guardian and @ObserverUK, @WiredUK, @TIME & others. 
Former @Cambridge_Uni neuroscientist & mental health researcher.",Email: dcwriter89@gmail.com,2539,210,9.15861591764658
4254,David+Coyle,@davidc_hci,David Coyle,Associate Professor in Human Computer Interaction,"Dublin, Irlande",184,109,0.7478091514635765
4255,David+Craig,@Davidjcraig_99,Dr. David Craig,"Capitalist. Socialist. Agnostic. Scientist. Thinker. Dreamer. Tinkerer. Questioner. Psychology PhD, cricketer and ex-actuary.",Sydney Australia,220,426,0.8715087652817194
4256,David+Crane,@DavidGCrane,David Crane,President of @Govern4CA and Lecturer in Public Policy at Stanford University,,2474,405,9.21928028622202
4257,David+Crippen,@DavidCrippen1,David Crippen,"Professor Emeritus of Critical Care Medicine, Emergency Medicine  and Neurological Surgery, University of Pittsburgh Medical Center. Retired.","Pittsburgh, PA",101,5,0.4962664353719872
4258,David+Crossman,@d_crossman,David Crossman,Academic Cardiologist and UK Medical School Dean,University of St Andrews,143,91,0.5552164201407453
4259,David+Cunningham,@DCunningham_STL,David Cunningham,"Sociologist at Washington University in St. Louis, studying social conflict and its legacies. Longtime enthusiasms: travel, music, barbecue, baseball, & biking.","St Louis, MO",401,266,0.8211390844141595
4260,David+Curtis,@dcurtis_CHILab,David Curtis,"PhD in Human Development & Fam Studies
Int. in pop health, health interventions, and societal determinants.
And love to be outdoors and with family.",,37,240,0.1350519344009273
4261,David+Dagan,@DavidDagan,David Dagan,"Poli sci VAP at https://t.co/wbZK300dvu. PhD'd @JohnsHopkins. Law/criminal justice, federalism, conservatism, populism, civics. Yeah, they all go together.","Baltimore, USA",660,895,5.753682127964035
4262,David+Daniels,@DavidDaniels_DC,David Daniels,"Visiting researcher, Chalmers University of Technology","Gothenburg, Sweden",82,146,0.7798436884057851
4263,David+Darmon,@DavidDarmon,David Darmon,Recovering former academic. Aspiring mathematician. Data scientist. Views are my own.,,51,54,0.374166997970355
4264,David+Dawson,@d2dawson,David  Dawson,David Dawson MD is a vascular surgeon with Baylor Scott & White Health and a Texas A&M University Clinical Professor. He is a retired Air Force colonel.,"Temple, TX",301,57,1.4642550364530513
4265,David+DeSteno,@daviddesteno,David DeSteno,"Psychological Scientist, Author, Occasional Feature/Opinion Writer. Studying the Science of Emotion, Moral Decisions, and Virtue. Next Book: How God Works.",Boston,4355,271,22.967695585757546
4266,David+Dean,@DavidDean2010,David Dean,"father, partner, leftie, veggie/vegan, history professor, public historian, overly fond of espresso, mangos, feijoas, dosas, tuis, Habs, MUFC (he/his)","Ottawa, Canada",735,357,3.171988947542757
4267,David+Dearnaley,@DearnaleyProf,Prof David Dearnaley,"Retired Professor of UroOncology at The Institute of Cancer Reseach and Royal Marsden NHS Trust specialising in Prostate Ca,  Radiotherapy and Clinical Trials",,2,1,0.004926807796061298
4268,David+Deehan,@DavidDeehan_XAL,David Deehan,I surround myself with fantastic people privately & professional and I have a richer life because they are in it.,"Glenrothes, Scotland",85,158,0.29821447839888543
4269,David+Diaz,@davitindiaz,David Diaz,Marine ecologist. Spiny lobster research. Conservation biology,,475,117,2.3221941303244824
4270,David+Dingli,@david_dingli,David Dingli,"Hematologist with expertise in multiple myeloma, amyloidosis, hematopoiesis, stem cell transplantation, PNH, mathematical and computational modeling.",,90,125,0.20380658839920018
4271,David+Dolling,@ddolling,David Dolling,"PhD in Medical Statistics. I tweet about science, experimental music and politics.",London,87,169,0.27075742751023774
4272,David+Donoso,@DaveTheAsbestos,David Donoso,"Independiente:
@TheAsbestos | Research | Internet Verification

Likes = Bookmarks (most times)

English | Español",,6951,1382,66.10601802571479
4273,David+Douglas,@davedouglas111,David Douglas,"Professor (Part-time)
Concordia University.            

All vaxed up








LFC supporter.

political junkie (Canadian)","Montréal, Québec",316,1540,1.7111364506059945
4274,David+Draper,@david_draper,David Draper,"Head of professional services at Valtech in the U.K., mostly interested in finding better ways to deliver innovation new products to our customers.",London or Lancashire,320,101,1.6280846439016765
4275,David+Duncker,@DavidDuncker,David Duncker,Cardiac Electrophysiologist | Deputy Head of Hannover Heart Rhythm Center | Hannover Medical School | Chair #EHRA_ESC E-Communication Committee @EHRAPresident,"Hannover, Deutschland",1271,289,6.37757261027996
4276,David+Duneau,@DDuneau,david duneau,Evolutionary biologist working on evolution of infectious diseases @EDB_Lab in FR & @IGCiencia in PT,Toulouse (France),367,499,1.5175847981988217
4277,David+Dunstan,@DavidWDunstan,David Dunstan,Public Health researcher undertaking studies to understand why too much sitting and too little exercise is bad for health,"Melbourne, Victoria",613,86,2.86080877502023
4278,David+Durantel,@David_Durantel,DURANTEL David,"Researcher on Viral Hepatitis working @inserm, @CIRI_Lyon, France.
Head of @HepvirTeam
Active member at @agenceANRS
Assoc. Edit. of ""Antiviral Research"" journal","Lyon, France",99,155,0.46202295061501264
4279,David+Ebert,@ebertgrainfarms,David Ebert,4th Generation Progressive Young Farmer | Data Driven | Growing Profit By Yielding Success,EC-IL,861,514,4.044617851849741
4280,David+Eddie,@davideddiephd,Dr. David Eddie,Clinical psychologist & researcher,"Boston, MA",145,25,0.8340711007319047
4281,David+Edelman,@davidtalk,David Edelman,"CEO/Founder of @GoThrivable, health care's real-time market research platform. Founded @DiabetesDaily. Creating, growing, playing, sharing!","Cleveland, OH",585,148,3.351179547796232
4282,David+Edvardsson,@DEdvardsson,David Edvardsson,"Director General, Ministry of Education and Research, Sweden.",,159,267,0.7139042332340533
4283,David+Edwards,@doctoredwards,David Edwards MD PhD,"David A Edwards MD, PhD. Anesthesiologist and Neuroscientist",Vanderbilt University,170,85,0.3896893855899495
4284,David+Eisenberg,@EisenbergEchem,David Eisenberg,"Eisenberg lab for Electrochemistry and Energy, Technion - Israel Institute of Technology.",Israel,161,204,0.4354498748946209
4285,David+Eliezer,@DavidYepezS,david eliezer,"Abogado Especialista en Cs Penales y Criminologicas, Profesor de Pregrado y conferencista","Lara, Venezuela",92,0,0.37986809266379284
4286,David+Ellard,@EllardDavid,David Ellard,Associate Professor @warwickCTU @warwickmed #mixedmethods #carehomes #ElderlyCare #dementia #MentalHealth #ProcessEvaluation #ChronicPain #CDSM,"Bulkington, Warwickshire",135,126,0.7671089968709872
4287,David+Elliot,@_DavidBerman,David Elliot Berman,"PhD candidate at @AnnenbergPenn. Platforms, policy, political economy. Co-author of After Net Neutrality: A New Deal for the Digital Age (Yale University Press)","Philadelphia, PA",231,1062,1.2685841514556087
4288,David+Ellis,@davidaellis,Dr David A. Ellis,Associate Prof/SL @UniofBath @ido_bath @CREST_Research @REPHRAIN1 Book=@CambridgeUP Doesn’t know everything about something. Knows something about some things.,"Bath, England",1530,139,7.235545256383156
4289,David+Ellison,@dhekidney,David Ellison,"Translational researcher, nephrologist, and head of the Oregon Clinical & Translational Institute. I am naturally skeptical, but always open to reason.","Portland, OR",1574,221,11.991370967416488
4290,David+Ellwood,@GUDeanofMed,David Ellwood,Dean of Medicine at Griffith University since August 2017. Professor of Gynaecology and Obstetrics at Gold Coast University Hospital.,Gold Coast,84,19,0.3059917936377261
4291,David+Emerson,@daveemersonSEKO,David Emerson,"Director at SEKO Logistics, Husband. Father to three, grandad to two. The Jam fan, terrible tennis player: Gooner. Budgie smuggler. On a plane somewhere.",Ascot and the world...,473,1397,1.721311084543191
4292,David+Entenberg,@dentenberg,David Entenberg,"Assistant Professor, Director of Technology Development, Gruss-Lipper Biophotonics Center, Einstein College of Medicine","Bronx, NY",144,227,0.5492628942916075
4293,David+Eriksson,@davidmeriksson,David Eriksson,"Research Scientist at @Facebook interested in Bayesian optimization and Gaussian processes. Previously Uber AI Labs, Ph.D. from Cornell. I like mountains.","San Francisco, CA",139,284,0.8441014178765676
4294,David+Etoori,@iam_mdavu,David Etoori,"Epidemiologist
Public Health researcher
Writer",London,34,29,0.23393013110150498
4295,David+Evans,@daddydog22,David A Evans,"Asst Professor, UCLA, 1967-1974; Prof, Caltech, 1974-1983; Prof, Harvard,1983-2015; Research Professor; Harvard 2015-2018, Now fully retired.","Hilton Head Island, SC",4807,1148,12.635179721176769
4296,David+Eyre,@drdavideyre,David Eyre,Infection doctor and researcher,"Oxford, England",743,174,3.1242061420903022
4297,David+Fedele,@fedele_david,David Fedele,Pediatric psychologist and associate professor @UF. Tweets are my own.,"Gainesville, FL",336,329,2.8451061440341605
4298,David+Feldman,@dfeldy,David Feldman,"TV Sports Producer, Oakland Athletics and Baseball Historian, MLB Official Scorer, Stats and Research on all Bay Area Sports.",,4143,365,27.909735609082908
4299,David+Ferguson,@TheSportPhysio1,David Ferguson,Exercise physiologist helping improve the performance and safety of race car drivers,"East Lansing, MI",272,289,0.6776976363711092
4300,David+Fischer,@davidsebfischer,David Fischer,PhD student in Computational Biology / Machine Learning,"Munich, Bavière",384,241,1.5311664724349239
4301,David+Fisher,@DFofFreedom,David N. Fisher,"Research Fellow @AberdeenUni, looking at the role of social interactions in evolution. Social networks, quantitative genetics, and a sense of adventure. He/him","Aberdeen, Scotland",1557,1482,3.554165268255699
4302,David+Flood,@davidcflood,David Flood,"Med-Peds physician @umichmedicine + research fellow @ncspMICHIGAN + Guatemalaphile @wuqukawoq/@INCAP_NUTRICION. Diabetes, CVD, health systems, equity.",,385,483,2.3614777464624086
4303,David+Forner,@forner_david,David Forner,@DalMedSchool Otolaryngology -- Head & Neck Surgery resident | Alumni: @UPEI BSc @UofT MSc @DalhousieU MD | Maritimer,,87,183,0.6500669741601014
4304,David+Francis,@daviddjfrancis,David Francis,"Radio Station Managing Director, TV and Radio Presenter and the odd Voiceover. https://t.co/sK3Qc7pY0Q",,2867,1938,11.03833047138763
4305,David+Fredman,@davidfredman,David Fredman,AI/ML Technologist. Director @EY_Norge. Music and ocean advocacy @oikorecords. Former researcher. 🧡 ML and Science. Raising two curious kids.  Still learning.,"Bergen, Norway",237,338,0.8105202828037525
4306,David+Friedman,@profdaf,David Friedman,"Law prof @ Willamette. Here for fun mostly, also legal profession & education innovation. Interim Acting Associate Dean of West Coast Twitter. Personal account.","Oregon, USA",3989,991,8.921891660018797
4307,David+M.+Evans,@tukopamoja,David Evans,"This used to be the handle of David Evans, economist. But I'm using @DaveEvansPhD now. Follow me there!",,31,784,0.07379693780561715
4308,David+M.+Francis,@daviddjfrancis,David Francis,"Radio Station Managing Director, TV and Radio Presenter and the odd Voiceover. https://t.co/sK3Qc7pY0Q",,2867,1938,14.123053114602259
4309,David+M.+Gershenson,@RareOvarCancers,David M. Gershenson,"Highlighting research advances and news about rare ovarian cancers: clear cell, low-grade serous, mucinous, malignant germ cell tumors, sex cord-stromal tumors",MD Anderson Cancer Center,357,19,1.8374005431403708
4310,David+M.+Goldenberg,@Thyroid_Surgeon,David Goldenberg,Professor & Chair of Otolaryngology- Head and Neck Surgery. #Otolaryngology #thyroid #ENTSurgery #parathyroid,"Hershey, Pennsylvania",1074,817,5.628704808035357
4311,David+M.+Greenberg,@republicofspin,David Greenberg,"Historian, writer, author of Republic of Spin, Nixon's Shadow, more. Writing a bio of John Lewis. Rutgers prof. Politico columnist. NYT, WP, WSJ, old TNR, more.","Manhattan, NY",7963,460,39.42931059772358
4312,David+M.+Hartley,@HartleyDM,David Hartley,"Mathematical epidemiologist working on infectious disease, complex systems, and global health.",,829,397,3.3551411892088225
4313,David+M.+Hasan,@davidhasan10,david hasan,Professor of Neurosurgery & Otolaryngology & Biomedical Engineering; Section Chief of Vascular Neurosurgery - University of Iowa Hospitals & Clinics,"Iowa City, IA",41,54,0.19052271314501082
4314,David+M.+Howard,@HardRoaders,David M. Howard,Learn to labor and to wait.,"Kansas, USA",38,109,0.18865162673126948
4315,David+M.+Irwin,@davidirwin55,David Irwin,Happily retired Professor living the dream,"La Jolla, CA",12,49,0.04020219928803413
4316,David+M.+Jacobs,@Dr_DavidMJacobs,Dr. David M. Jacobs,"Alien Abduction Researcher, Author, and Retired Assoc Prof. of History at Temple University. New Book: Walking Among Us--OUT NOW. http://t.co/vtr6Dt6id2","Philadelphia, PA",633,454,4.9230813494454715
4317,David+M.+Johnston,@daviddjohnston,David Johnston,Senior VP of Strategic Communications @kualumni. Lecturer @kujournalism. Previously Marketing Dir @univofkansas. Past Pres @KansasKclub. NCAA All-American. Dad.,"Lawrence, KS",2307,3471,14.693982880500428
4318,David+M.+Katz,@Katz_Lab,David Katz,The Katz Lab studies transgenerational epigenetics and the role of epigenetics in Alzheimer's Disease,"Emory University, Atlanta GA",906,1066,3.9099618863588272
4319,David+M.+Kendall,@D_S_Kendall,David Kendall,Art | Photography | Research | Visiting Fellow @thecucr | @citytosea | @the_u_p_a,"London, UK",682,583,4.877034233468715
4320,David+M.+Knipe,@davidknipe,David Knipe,VP Solution Architecture at @Optimizely (formerly @Episerver). #Episerver Most Valued Professional (EMVP) alumni. Blog: https://t.co/laiF52dMaE My own opinions,"St Albans, UK",1273,2183,4.552681344683008
4321,David+M.+Koelle,@dmkoelle,David Koelle,"Software engineering leadership. Research: swarms, ALife, social systems. Author, JFugue (open source music API). Word puzzles. Believer in building people up.","Boston, MA",919,3281,2.8445555071799142
4322,David+M.+Kranz,@DavidKranz93,David Kranz,PhD Student Graulich Group JLU Giessen; Chemistry Education Researcher; Father,"Gießen, Deutschland",65,99,0.15933024414156977
4323,David+M.+Lawson,@thedavidlawson,David Lawson,"Designer , fashion illustrator , photographer,beauty guru
singer song writer,lover of Christ , no labels pls IG @raluccilawson",,8,134,0.03470227511458442
4324,David+M.+Levine,@davidlevinemd,David Levine,"Internal medicine primary care doc, health innovation researcher, chemistry teacher, bagel connoisseur, environmentalist, steward of health & education for all","Boston, MA",723,225,3.4915468660745277
4325,David+M.+Levy,@ThatDavidLevy,David M. Levy,Writer. Screenwriter. Ex-Wrestler. Traveler. Foodie. Habidasher. Coffee addict. PhD in Sarcasm. IG: @that_david_levy,NYC/NJ,646,1179,3.7966295426543892
4326,David+M.+Livermore,@DavidLivermore,David Livermore,"Insatiably curious about people, cultures, the world. Research, write, and speak about global leadership and cultural intelligence (CQ®) https://t.co/584m5dwTrH","Grand Rapids, Michigan",2443,77,11.450980016550139
4327,David+M.+Loeb,@david65,David Loeb,Pediatric oncologist.  Scientist.  Blogger.,"Baltimore, MD",464,88,2.3096106086182737
4328,David+M.+Lowe,@MrDavidLowe,David Lowe,"Coach, mentor, trainer & author. Researching humour in coaching. New book out: https://t.co/E0PVr2a5s9 #TheLemonadeStall","Oxfordshire & London, UK",5554,4095,30.500936697768182
4329,David+M.+Mannino,@dmmannino,David Mannino,"Medical Director, COPD Foundation. Professor at University of Kentucky College of Public Health Interested in Chronic Lung Disease","Lexington, KY",220,101,0.6556845545161367
4330,David+M.+Margolis,@MargolisLab,David Margolis,Neuroscience lab interested in imaging neural circuit activity in mice,"Rutgers, New Brunswick",4775,1241,14.004126158220627
4331,David+M.+Miller,@TheMillerLab,"David M. Miller MD, PhD, FAAD",Medical Oncologist and Dermatologist @MGHCancerCenter and @HarvardMed,,323,387,1.9155048377926234
4332,David+M.+Nanus,@DrDavidNanus,David M. Nanus,"GU oncologist and researcher (prostate cancer, kidney cancer, bladder cancer), Professor of Medicine and Urology at @NYPhospital and @WeillCornell","New York, New York",869,89,3.465061626421742
4333,David+M.+Nelson,@TheNelsonGroup,David Nelson,"Work: Catalysis, physical organic chemistry, chemistry research and teaching. Personal: social justice, equality, pro-EU. David's personal views only. He/him.",Scotland,3448,2383,13.06223497551679
4334,David+M.+Ornitz,@DMOrnitz,David Ornitz,Professor at Washington University in St. Louis,,114,39,0.5545683526765709
4335,David+M.+Ozonoff,@dozonoff,David Ozonoff,"Professor of Environmental Health, chronic disease epidemiologist",Boston,275,66,2.017567145918581
4336,David+M.+Paterson,@DavidPatersonca,David Paterson,"Retired student of particle & astrophysics, cosmology. PhD Phys. Technology & business management/directorship careers. Father, grandfather, devoted husband.","Ottawa, Canada",1146,386,7.217715563502238
4337,David+M.+Phillips,@davmphillips,David Phillips,"Founder of The Anna Phillips Foundation @apfoundation20 , mental health campaigner, Labour and trade union activist. Likes good books, music",United Kingdom,1824,283,4.921715490902303
4338,David+M.+Pigott,@davidpigott52,David Pigott,Former professional horn player,,46,159,0.17087074524133034
4339,David+M.+Richardson,@RewritingDavid,David Richardson,"PhD in Psych, Gaymer, Geek, Guncle, Dog Dad, and Advocate",Baltimore,65,177,0.3235445895693702
4340,David+M.+Roberts,@DrDavidLRoberts,David Roberts,Reader #Biodiversity #Conservation @DICE_Kent| research #wildlifetrade/#extinction/sp id| Fellow @oxmartinschool & @OxZooDept| @DefraGovUK #IWT Adv Grp| my view,United Kingdom,2321,252,9.790131200880815
4341,David+M.+Rocke,@dmrocke,David Rocke,"Professor of Biostatistics and Biomedical Engineering: Statistics, bioinformatics, and general opinions about how to do science.","UC Davis, California",134,154,0.7806614819718692
4342,David+M.+Routman,@DavidRoutmanMD,David Routman,Assistant Professor | Radiation Oncology | Mayo Clinic. Views are my own and subject to change,,279,484,1.797836957314344
4343,David+M.+Rubin,@DavidMarkRubin,David Rubin,Professor and Dean Emeritus (now retired) at the Newhouse School at SU.  Specialist in First Amendment Law.,"Summerville, South Carolina",1342,23,18.518005898324958
4344,David+M.+Schuster,@schusterqed,David Schuster,"Quantum dad, scientist, inventor, and unconventional thinker. My views are someone else's.","Chicago, IL",2026,1734,9.185583301463211
4345,David+M.+Shaw,@_david_shaw,David Shaw,"Acting Vice-Principal and Lecturer in New Testament, Greek and Biblical Theology @OakHillLondon. Editor of @primerhq. Elder @SpicerStreet.",,1428,415,12.264929416427846
4346,David+M.+Simpson,@DavidCSimpson,David Simpson,"PoliSci PhD candidate @Columbia researching AmPol & Political Econ. I dream about food. I like pedestrian friendly streets and policy analysis. Also, Roll Tide!",NY / TN / AL,508,2279,1.292216264965958
4347,David+M.+Smadja,@DavidMSmadja,David Smadja,"Professeur Hématologie, @hopitalpompidou,Université de Paris, Inserm 1140, Directeur laboratoire Recherches Biochirurgicales (Fondation Carpentier).","Paris, 3ème Arrondissement",2888,2731,11.837945622705279
4348,David+M.+Thomas,@ProfThomas,David Thomas,"12th President of Morehouse College. H. Naylor Fitzhugh Professor Emeritus, Harvard Business School. Former Dean of Georgetown McDonough School of Business.","Atlanta, GA",8337,7388,33.287137619105344
4349,David+M.+Tobin,@ReasonablyRagin,David Tobin,"Research Fellow in China's Political Economy @UoMChina. First book, 'Securing China's Northwest Frontier: Identity and Insecurity in Xinjiang' @CambridgeUP.",,2146,2718,10.710353928853738
4350,David+M.+Walton,@drblkhistory,Dr. David M. Walton,"Historian, Black Studies Scholar, 👌🏾♦️, WCU Prof and Director of Global Black Studies, EMU alum, MSU PhD alum (History AND AAAS)","North Carolina, USA",837,1029,6.580671355773522
4351,David+M.+White,@davidwhitephd,David White,Cognitive psychologist studying individual differences in face perception + interested in how people use #facialrecognition tech. Scientia Fellow @UNSWscience,"Sydney, Australia",693,973,3.1357779710167826
4352,David+M.+Wood,@davidinmoscow,David Wood,"Thrill-seeking CFO, mild mannered deal maker by night, One-time rock star, economist, M&A professional, Dad, Dude, Chef, Cyclist, Human.","Nashville, TN",161,149,0.7299501044104526
4353,David+M+Almeida,@CorkedOut,David Almeida,Passionate wine & hospitality professional. Father to Alex the Great! Hospitality recruiter for fine dining restaurants and luxury hotels. Bodyboard rookie!,"England, United Kingdom",833,702,19.237875288683604
4354,David+M+Baguley,@DrDavidBaguley,David Baguley,"Audiologist, hearing researcher, interests in tinnitus, hyperacusis, ototoxicity after chemotherapy for cancer. Views my own.","Nottingham, England",1400,564,7.163690034585445
4355,David+M+Cash,@davecash75,David Cash,"London via Nashville and Atlanta. Researcher in dementia, but mainly tweets about sports, politics, music. Tweets are almost always someone else's.","London, England",222,253,0.9500982639152128
4356,David+M+Eisenberg,@EisenbergEchem,David Eisenberg,"Eisenberg lab for Electrochemistry and Energy, Technion - Israel Institute of Technology.",Israel,161,204,0.6498065503952851
4357,David+M+Evans,@tukopamoja,David Evans,"This used to be the handle of David Evans, economist. But I'm using @DaveEvansPhD now. Follow me there!",,31,784,0.06523871041300161
4358,David+M+Gardner,@DavidMGardner2,David M Gardner,"Retired Aviation Professional
Motorcycle Enthusiast
Right Wing Conservative
Righteous Republican
Logistics Specialist
Go DJT MAGA
Build the Wall
Drain the Swamp","Georgia, USA",723,1614,3.442592869326701
4359,David+M+Goldenberg,@Thyroid_Surgeon,David Goldenberg,Professor & Chair of Otolaryngology- Head and Neck Surgery. #Otolaryngology #thyroid #ENTSurgery #parathyroid,"Hershey, Pennsylvania",1074,817,2.9730738946680852
4360,David+M+Hodgson,@dbhodgson,David Hodgson,NHS chest doctor. Researcher. Geek. Views are my own or borrowed from other people.,Nottingham,365,631,3.6227969770590813
4361,David+M+Irwin,@davidirwin55,David Irwin,Happily retired Professor living the dream,"La Jolla, CA",12,49,0.048907858739844726
4362,David+M+Knipe,@davidknipe,David Knipe,VP Solution Architecture at @Optimizely (formerly @Episerver). #Episerver Most Valued Professional (EMVP) alumni. Blog: https://t.co/laiF52dMaE My own opinions,"St Albans, UK",1273,2183,5.512532884269282
4363,David+M+Lambert,@DrDRLambert,David Lambert,"Professor @WarwickHistory - historian and geographer of Caribbean, Atlantic world and British empire. Editor of Slavery & Abolition. Director of @HRCWarwick","Kenilworth, UK",1544,456,9.51905988509959
4364,David+M+Mannino,@dmmannino,David Mannino,"Medical Director, COPD Foundation. Professor at University of Kentucky College of Public Health Interested in Chronic Lung Disease","Lexington, KY",220,101,0.6515495251736968
4365,David+M+Ornitz,@DMOrnitz,David Ornitz,Professor at Washington University in St. Louis,,114,39,0.2700359143485559
4366,David+M+Ozonoff,@dozonoff,David Ozonoff,"Professor of Environmental Health, chronic disease epidemiologist",Boston,275,66,1.4790172653807483
4367,David+M+Pigott,@davidpigott52,David Pigott,Former professional horn player,,46,159,0.09929513796948704
4368,David+M+Reid,@mmd274,Prof David M Reid,Emeritus Professor of Rheumatology at the University of Aberdeen. Patron of the National Osteoporosis Society now with 25 Harley Street and ROC Private,Aberdeen and London,174,176,0.6599175717561767
4369,David+M+Richardson,@RewritingDavid,David Richardson,"PhD in Psych, Gaymer, Geek, Guncle, Dog Dad, and Advocate",Baltimore,65,177,0.3608992303525055
4370,David+M+Rocke,@dmrocke,David Rocke,"Professor of Biostatistics and Biomedical Engineering: Statistics, bioinformatics, and general opinions about how to do science.","UC Davis, California",134,154,0.674213471991826
4371,David+M+Simpson,@DavidCSimpson,David Simpson,"PoliSci PhD candidate @Columbia researching AmPol & Political Econ. I dream about food. I like pedestrian friendly streets and policy analysis. Also, Roll Tide!",NY / TN / AL,508,2279,2.630104516573915
4372,David+M+Thomas,@ProfThomas,David Thomas,"12th President of Morehouse College. H. Naylor Fitzhugh Professor Emeritus, Harvard Business School. Former Dean of Georgetown McDonough School of Business.","Atlanta, GA",8337,7388,26.320656393286917
4373,David+N.+Arnosti,@ArnostiDavid,David Arnosti,Gene expression research at Michigan State University,,715,384,5.113019760894621
4374,David+N.+Bernstein,@ProfDBernstein,David Bernstein,Lawprof @georgemasonlaw. Check out my books at https://t.co/RcNHB7P1bI. Check out my articles at https://t.co/ZPUGjt2VLs.,"Arlington, VA",7159,451,56.285574953384284
4375,David+N.+Brown,@OlDocB_UofL,David Brown,Physics Professor and Associate Dean at the University of Louisville,"Louisville, KY",43,64,0.33442732705553757
4376,David+N.+Cooper,@DrDavidCooper,David Cooper,Place writing/poetry/literary geography/GeoHumanities/maps. Senior Lecturer @MMUEnglishDept @McrWritingSchl Co-Director @PlaceCentre,Lancaster & Manchester,5643,1960,10.302148820451762
4377,David+N.+Dowling,@David_J_Dowling,David Dowling,"Vaccine Scientist - Immunologist. PI, Adjuvant Discovery and Development (Dowling) Lab @PrecVaccines @BCHPedsID @BostonChildrens @harvardmed. @DCUAlumni","Boston, MA",417,1409,1.8687413200958585
4378,David+N.+Juurlink,@DavidJuurlink,David Juurlink,"Professor and Head, Clinical Pharmacology & Toxicology @UofT. Internist @Sunnybrook. Drug safety researcher @ICESOntario. Inexplicably fortunate husband.",Toronto,59426,900,209.0480080895125
4379,David+N.+Kennedy,@dkenned11,David Kennedy,Assistant Professor of Biology at Penn State in the Center for Infectious Disease Dynamics.  Works on the ecology and evolution of infectious diseases.,"State College, PA",434,318,1.3736890723905335
4380,David+N.+Naumann,@davidnnaumann,David Naumann,"Surgical Reg, British Army | Lecturer, MSc Trauma Sciences @UniBirmingham | Editorial Board @MilitaryH_BMJ | Alumnus @CaiusCollege | PhD in haemorrhagic trauma",UK,6053,4746,38.12289031926618
4381,David+N.+Palmer,@palmerchem,David Palmer,Senior Lecturer at @StrathChem. Computational Chemist.  Founding Director of @DxcoverLtd (formerly @ClinspecDx).  Trustee of https://t.co/upO2xiMaFq.,"Glasgow, Scotland",222,440,1.276991616292985
4382,David+N.+Ruskin,@drdrphd,David Ruskin,"Assistant Professor of Linguistics, University of Guam",Guam,51,41,0.2369916675706232
